,Quick Progress vs Slow Progress
refmet_name,ratio
1-Methylhistidine,0.663364851
3-Methylhistidine,0.802058591
Alanine,1.031132081
Alloisoleucine,1.048433048
2-Aminobutyric acid,1.083105023
Aminoadipic acid,1.253968254
Anserine,NA
Arginine,1.171773239
Asparagine,1.124071247
Aspartic acid,0.862173359
beta-Alanine,0.893557423
beta-Aminoisobutyric-acid,0.761948718
Carnosine,NA
Citrulline,0.921119593
Cystathionine,0.727272727
"Cystathionine	",NA
Cystine,1.061758624
Ethanolamine,1.07641196
gamma-Aminobutyric acid,0.726315789
Glutamic acid,0.905324252
Glutamine,1.35764177
Glycine,0.938248886
Histidine,1.061086662
Homocystine,NA
5-Hydroxylysine,1
5-Hydroxylysine,1.162393162
Hydroxyproline,0.889740781
Isoleucine,1.001092282
Leucine,0.988322435
Lysine,1.056600358
Methionine,1.068235294
Ornithine,0.990674127
Phenylalanine,0.992810522
Phosphoethanolamine,1.148843931
Proline,1.027671532
Sarcosine,1.016365202
Serine,1.029483135
Taurine,1.096426163
Threonine,1.010154096
Tryptophan,0.946795418
Tyrosine,0.978290283
Valine,1.04737286
