,Tumor tissues (4day) vs tumor tissues (0day)
Compound name,ratio
Trimethylamine N-oxide,1.5
Histamine,1.5
Guanidinoacetate,1.5
Homoserine,1.5
1-Methylhistamine,1.5
Trigonelline,1.5
Ectoine,1.5
"N1,N12-Diacetylspermine",1.5
gamma-Guanidinobutyrate,1.5
Guanine,1.5
S-Methylmethionine,1.5
N-epsilon-Acetyllysine,1.5
2'-Deoxycytidine,1.5
"7,8-Dihydrobiopterin",1.5
Anserine,1.5
2'-Deoxyguanosine,1.5
Hexanoate,1.5
Benzoate,1.5
Itaconate,1.5
Heptanoate,1.5
Octanoate,1.5
3-Phenylpropionate,1.5
Terephthalate,1.5
Urate,1.5
Decanoate,1.5
N-Acetylaspartate,1.5
Hippurate,1.5
Undecanoate,1.5
Mucate,1.5
3-Indoxyl sulfate,1.5
dCMP,1.5
dAMP,1.5
Trehalose 6-phosphate,1.5
Taurocholate,1.5
ADP-ribose,1.5
Ethanolamine phosphate,1.5
Urocanate,1.5
Proline betaine,1.5
Glutarate,1.5
Urea,1.5
Inosine,1.5
Citrulline,1.5
Choline,1.5
5-Hydroxylysine,1.5
Phthalate,1.5
Pipecolate,1.5
GMP,1.5
IMP,1.5
dTMP,1.5
4-Acetylbutyrate,1.5
Pelargonate,1.5
Nicotinamide,1.5
2-Hydroxyglutarate,1.5
Hypoxanthine,1.5
Cysteine-glutathione disulphide -Divalent,1.5
Dodecanoate,1.5
N-Acetylglutamate,1.5
"N,N-Dimethylglycine",1.5
4-Oxopentanoate,1.5
3-Hydroxybutyrate,1.5
Guanosine,1.5
Thymidine,1.5
o-Acetylcarnitine,1.5
Thymine,1.5
Sebacate,1.5
AMP,1.5
N-Acetylhistidine,1.5
Glutathione(ox),1.5
Isocitrate,1.5
Dodecanedioate,1.5
Taurine,1.5
UMP,1.5
N1-Acetylspermidine,1.5
Isethionate,1.5
Allantoin,1.5
N-Acetylneuraminate,1.5
Azelate,1.5
Ru5P,1.5
Indole-3-acetamide,1.5
Carnitine,1.5
Thiamine monophosphate,1.5
Melatonin,1.5
CMP,1.5
Diethanolamine,1.5
alpha-Aminoadipate,1.5
Sarcosine,1.5
Uridine,1.5
N-Acetylglucosamine 1-phosphate,1.5
Carnosine,1.5
Lactate,1.5
3-Methylhistidine,1.5
Ornithine,1.5
1-Methyladenosine,1.5
Pimelate,1.5
Citrate,1.5
Riboflavin,1.5
"2',3'-cCMP",1.5
